concept_id,code,source,datatype,amrs_id,amrs_datatype
71142,71142,CIEL,N/A,11315,N/A
71152,71152,CIEL,N/A,11316,N/A
71153,71153,CIEL,N/A,11317,N/A
71154,71154,CIEL,N/A,11318,N/A
71159,71159,CIEL,N/A,11319,N/A
71160,265,AMPATH,N/A,265,N/A
71162,71162,CIEL,N/A,11320,N/A
71560,71560,CIEL,N/A,11321,N/A
71647,6159,AMPATH,N/A,6159,N/A
71648,71648,CIEL,N/A,11023,N/A
71709,71709,CIEL,N/A,11322,N/A
71780,71780,CIEL,N/A,735,N/A
71781,71781,CIEL,N/A,11323,N/A
71793,71793,CIEL,N/A,11324,N/A
71916,71916,CIEL,N/A,1240,N/A
72120,72120,CIEL,N/A,786,N/A
72186,72186,CIEL,N/A,11325,N/A
72760,72760,CIEL,N/A,11343,N/A
72822,2002,RxNORM,N/A,920,N/A
72835,72835,CIEL,N/A,11326,N/A
72987,72987,CIEL,N/A,11327,N/A
72990,72990,CIEL,N/A,11328,N/A
73006,73006,CIEL,N/A,963,N/A
73030,73030,CIEL,N/A,11329,N/A
73041,496,AMPATH,N/A,496,N/A
73042,73042,CIEL,N/A,11330,N/A
73043,73043,CIEL,N/A,737,N/A
73044,73044,CIEL,N/A,11331,N/A
73092,73092,CIEL,N/A,11332,N/A
73136,73136,CIEL,N/A,779,N/A
73138,73138,CIEL,N/A,11333,N/A
73139,73139,CIEL,N/A,11333,N/A
73239,266,AMPATH,N/A,266,N/A
73447,73447,CIEL,N/A,11334,N/A
73449,73449,CIEL,N/A,740,N/A
73451,73451,CIEL,N/A,11335,N/A
73503,73503,CIEL,N/A,11336,N/A
73564,73564,CIEL,N/A,9721,N/A
73594,73594,CIEL,N/A,11337,N/A
73623,73623,CIEL,N/A,11338,N/A
73624,73624,CIEL,N/A,960,N/A
73628,73628,CIEL,N/A,922,N/A
73629,73629,CIEL,N/A,11339,N/A
73631,73631,CIEL,N/A,11340,N/A
73632,73632,CIEL,N/A,11341,N/A
74250,74250,CIEL,N/A,92,N/A
74423,74423,CIEL,N/A,11342,N/A
74745,74745,CIEL,N/A,247,N/A
74778,74778,CIEL,N/A,436,N/A
74781,74781,CIEL,N/A,11344,N/A
74797,74797,CIEL,N/A,11345,N/A
74807,74807,CIEL,N/A,796,N/A
74843,74843,CIEL,N/A,11346,N/A
74845,74845,CIEL,N/A,11347,N/A
75161,75161,CIEL,N/A,959,N/A
75205,75205,CIEL,N/A,11348,N/A
75208,75208,CIEL,N/A,11349,N/A
75222,75222,CIEL,N/A,95,N/A
75523,633,AMPATH,N/A,633,N/A
75842,272,AMPATH,N/A,272,N/A
75847,75847,CIEL,N/A,11350,N/A
75948,2228,AMPATH,N/A,2228,N/A
75983,75983,CIEL,N/A,11351,N/A
76342,2363,AMPATH,N/A,2363,N/A
76446,76446,CIEL,N/A,11352,N/A
76464,76464,CIEL,N/A,447,N/A
76488,747,AMPATH,N/A,747,N/A
76514,76514,CIEL,N/A,11353,N/A
76516,76516,CIEL,N/A,11354,N/A
76552,2281,AMPATH,N/A,2281,N/A
76613,257,AMPATH,N/A,257,N/A
76734,76734,CIEL,N/A,99,N/A
77063,77063,CIEL,N/A,11355,N/A
77164,77164,CIEL,N/A,7584,N/A
77166,77166,CIEL,N/A,7584,N/A
77512,77512,CIEL,N/A,11356,N/A
77696,1243,AMPATH,N/A,1243,N/A
77702,77702,CIEL,N/A,11357,N/A
77714,290,AMPATH,N/A,290,N/A
77719,77719,CIEL,N/A,11358,N/A
77897,77897,CIEL,N/A,912,N/A
77920,77920,CIEL,N/A,11359,N/A
78010,78010,CIEL,N/A,263,N/A
78222,78222,CIEL,N/A,11360,N/A
78280,2229,AMPATH,N/A,2229,N/A
78476,78476,CIEL,N/A,926,N/A
78632,78632,CIEL,N/A,9223,N/A
78643,628,AMPATH,N/A,628,N/A
78873,271,AMPATH,N/A,271,N/A
79037,79037,CIEL,N/A,429,N/A
79038,79038,CIEL,N/A,429,N/A
79040,79040,CIEL,N/A,9026,N/A
79053,79053,CIEL,N/A,957,N/A
79074,2265,AMPATH,N/A,2265,N/A
79237,79237,CIEL,N/A,11361,N/A
79250,314,AMPATH,N/A,314,N/A
79283,79283,CIEL,N/A,11362,N/A
79413,244,AMPATH,N/A,244,N/A
79723,79723,CIEL,N/A,251,N/A
79755,79755,CIEL,N/A,751,N/A
79756,79756,CIEL,N/A,11363,N/A
79782,237,AMPATH,N/A,237,N/A
79783,79783,CIEL,N/A,11364,N/A
79784,79784,CIEL,N/A,11365,N/A
79831,286,AMPATH,N/A,286,N/A
79833,79833,CIEL,N/A,918,N/A
80191,80191,CIEL,N/A,11366,N/A
80487,635,AMPATH,N/A,635,N/A
80586,631,AMPATH,N/A,631,N/A
80637,250,AMPATH,N/A,250,N/A
80792,348,AMPATH,N/A,348,N/A
80945,80945,CIEL,N/A,919,N/A
81041,81041,CIEL,N/A,1244,N/A
81042,81042,CIEL,N/A,1244,N/A
81066,81066,CIEL,N/A,11367,N/A
81067,81067,CIEL,N/A,11367,N/A
81566,81566,CIEL,N/A,11368,N/A
81572,81572,CIEL,N/A,11369,N/A
81573,81573,CIEL,N/A,11370,N/A
81574,81574,CIEL,N/A,11371,N/A
81728,81728,CIEL,N/A,7460,N/A
82158,82158,CIEL,N/A,11372,N/A
82446,82446,CIEL,N/A,765,N/A
82448,82448,CIEL,N/A,11373,N/A
82453,82453,CIEL,N/A,491,N/A
82667,82667,CIEL,N/A,9430,N/A
82732,82732,CIEL,N/A,254,N/A
82900,5829,AMPATH,N/A,5829,N/A
82910,82910,CIEL,N/A,11374,N/A
82912,82912,CIEL,N/A,766,N/A
82913,82913,CIEL,N/A,10894,N/A
82928,82928,CIEL,N/A,11375,N/A
82929,82929,CIEL,N/A,11376,N/A
82930,82930,CIEL,N/A,11377,N/A
83023,243,AMPATH,N/A,243,N/A
83075,83075,CIEL,N/A,923,N/A
83076,83076,CIEL,N/A,11378,N/A
83077,83077,CIEL,N/A,11379,N/A
83412,795,AMPATH,N/A,795,N/A
84239,2269,AMPATH,N/A,2269,N/A
84309,625,AMPATH,N/A,625,N/A
84360,438,AMPATH,N/A,438,N/A
84795,802,AMPATH,N/A,802,N/A
84879,84879,CIEL,N/A,10957,N/A
84898,84898,CIEL,N/A,11380,N/A
85151,235,AMPATH,N/A,235,N/A
85275,85275,CIEL,N/A,7566,N/A
85286,85286,CIEL,N/A,9431,N/A
86339,86339,CIEL,N/A,7309,N/A
86341,329,AMPATH,N/A,329,N/A
86342,86342,CIEL,N/A,11381,N/A
86347,86347,CIEL,N/A,11382,N/A
86350,86350,CIEL,N/A,11383,N/A
86415,86415,CIEL,N/A,8174,N/A
86663,797,AMPATH,N/A,797,N/A
86688,86688,CIEL,N/A,7586,N/A
103166,103166,CIEL,N/A,6679,N/A
103169,103169,CIEL,N/A,11384,N/A
103172,103172,CIEL,N/A,11385,N/A
103183,103183,CIEL,N/A,11386,N/A
103309,103309,CIEL,N/A,11387,N/A
103424,103424,CIEL,N/A,11388,N/A
103511,103511,CIEL,N/A,11389,N/A
103526,103526,CIEL,N/A,11390,N/A
103527,103527,CIEL,N/A,11391,N/A
103553,103553,CIEL,N/A,11392,N/A
103570,103570,CIEL,N/A,11393,N/A
103582,103582,CIEL,N/A,11394,N/A
103659,103659,CIEL,N/A,7309,N/A
103668,103668,CIEL,N/A,11395,N/A
103767,103767,CIEL,N/A,11396,N/A
103817,103817,CIEL,N/A,11397,N/A
103904,103904,CIEL,N/A,11398,N/A
104121,104121,CIEL,N/A,11399,N/A
104160,104160,CIEL,N/A,11400,N/A
104248,104248,CIEL,N/A,11401,N/A
104250,104250,CIEL,N/A,11402,N/A
104252,104252,CIEL,N/A,11403,N/A
104276,104276,CIEL,N/A,11404,N/A
104340,104340,CIEL,N/A,11405,N/A
104367,104367,CIEL,N/A,11406,N/A
104396,104396,CIEL,N/A,11407,N/A
104409,104409,CIEL,N/A,11408,N/A
104458,104458,CIEL,N/A,11409,N/A
104565,104565,CIEL,N/A,10796,N/A
104655,104655,CIEL,N/A,11410,N/A
104657,104657,CIEL,N/A,11411,N/A
104659,104659,CIEL,N/A,11412,N/A
104677,104677,CIEL,Coded,9497,Coded
104797,104797,CIEL,N/A,11413,N/A
104834,104834,CIEL,N/A,11414,N/A
104836,104836,CIEL,N/A,11415,N/A
104843,104843,CIEL,N/A,11416,N/A
104860,104860,CIEL,N/A,11417,N/A
104893,104893,CIEL,N/A,11418,N/A
104943,104943,CIEL,N/A,1194,N/A
104944,104944,CIEL,N/A,11419,N/A
105118,105118,CIEL,N/A,11420,N/A
105212,105212,CIEL,N/A,11421,N/A
105221,105221,CIEL,N/A,11422,N/A
105281,105281,CIEL,N/A,916,N/A
110002,110002,CIEL,N/A,11423,N/A
110125,110125,CIEL,N/A,11424,N/A
110149,110149,CIEL,N/A,11425,N/A
110255,110255,CIEL,N/A,11426,N/A
110375,110375,CIEL,N/A,11427,N/A
110503,110503,CIEL,N/A,11428,N/A
110598,110598,CIEL,N/A,11429,N/A
110834,110834,CIEL,N/A,172,N/A
111525,111525,CIEL,N/A,8139,N/A
111633,111633,CIEL,N/A,55,N/A
111721,111721,CIEL,N/A,10668,N/A
111759,111759,CIEL,N/A,27,N/A
111873,111873,CIEL,N/A,993,N/A
111953,111953,CIEL,N/A,2213,N/A
112141,112141,CIEL,Coded,58,N/A
112171,112171,CIEL,N/A,1457,N/A
112200,112200,CIEL,N/A,9461,N/A
112395,112395,CIEL,N/A,11430,N/A
112493,112493,CIEL,N/A,223,N/A
112603,112603,CIEL,Coded,6259,Coded
112721,112721,CIEL,N/A,5170,N/A
112846,112846,CIEL,N/A,11431,N/A
112930,112930,CIEL,N/A,1876,N/A
112934,112934,CIEL,N/A,11432,N/A
112938,112938,CIEL,N/A,11433,N/A
112992,112992,CIEL,N/A,174,N/A
113054,113054,CIEL,Coded,10806,Coded
113116,113116,CIEL,N/A,2092,N/A
113223,113223,CIEL,N/A,880,N/A
113224,113224,CIEL,N/A,880,N/A
113371,113371,CIEL,N/A,11434,N/A
113496,113496,CIEL,N/A,11435,N/A
113517,113517,CIEL,N/A,219,N/A
113579,113579,CIEL,N/A,11436,N/A
113580,113580,CIEL,N/A,11436,N/A
113809,113809,CIEL,N/A,11437,N/A
113928,113928,CIEL,N/A,6496,N/A
114100,114100,CIEL,N/A,43,N/A
114106,114106,CIEL,N/A,11438,N/A
114262,114262,CIEL,N/A,210,N/A
114395,114395,CIEL,N/A,10664,N/A
114399,114399,CIEL,N/A,10659,N/A
114403,114403,CIEL,N/A,11439,N/A
114413,114413,CIEL,N/A,6895,N/A
115147,115147,CIEL,N/A,11440,N/A
115148,115148,CIEL,N/A,11441,N/A
115268,115268,CIEL,N/A,6636,N/A
115285,115285,CIEL,N/A,1399,N/A
115397,115397,CIEL,N/A,11442,N/A
115476,115476,CIEL,N/A,11443,N/A
115753,115753,CIEL,N/A,1460,N/A
115779,115779,CIEL,N/A,1477,N/A
115815,115815,CIEL,N/A,11444,N/A
115835,115835,CIEL,N/A,60,N/A
115918,115918,CIEL,N/A,11445,N/A
116128,116128,CIEL,N/A,123,N/A
116130,116130,CIEL,N/A,869,N/A
116190,116190,CIEL,N/A,994,N/A
116225,116225,CIEL,N/A,456,N/A
116334,116334,CIEL,N/A,5949,N/A
116557,116557,CIEL,N/A,80,N/A
116558,116558,CIEL,N/A,80,N/A
116709,116709,CIEL,N/A,11446,N/A
116743,116743,CIEL,N/A,867,N/A
116824,116824,CIEL,N/A,11447,N/A
116825,116825,CIEL,N/A,11448,N/A
117010,117010,CIEL,N/A,139,N/A
117399,117399,CIEL,N/A,903,N/A
117543,117543,CIEL,N/A,836,N/A
117655,117655,CIEL,N/A,11449,N/A
117671,117671,CIEL,Coded,6787,Coded
117772,117772,CIEL,N/A,133,N/A
117829,117829,CIEL,N/A,1439,N/A
117889,117889,CIEL,N/A,197,N/A
118393,118393,CIEL,N/A,11450,N/A
118645,118645,CIEL,N/A,11451,N/A
118688,118688,CIEL,N/A,7020,N/A
118771,118771,CIEL,N/A,6020,N/A
118794,118794,CIEL,N/A,127,N/A
118938,118938,CIEL,N/A,11452,N/A
118983,118983,CIEL,Coded,10786,Coded
118990,118990,CIEL,N/A,864,N/A
119021,119021,CIEL,N/A,11453,N/A
119022,119022,CIEL,N/A,11454,N/A
119209,119209,CIEL,N/A,11455,N/A
119429,119429,CIEL,N/A,11456,N/A
119481,119481,CIEL,Coded,175,N/A
119525,119525,CIEL,N/A,937,N/A
119537,119537,CIEL,N/A,207,N/A
119558,119558,CIEL,N/A,131,N/A
120069,120069,CIEL,N/A,11085,N/A
120345,120345,CIEL,N/A,6006,N/A
120615,120615,CIEL,N/A,11457,N/A
120749,120749,CIEL,N/A,136,N/A
120768,120768,CIEL,N/A,11458,N/A
120939,120939,CIEL,N/A,204,N/A
121375,121375,CIEL,Coded,5,N/A
121629,121629,CIEL,N/A,3,N/A
121689,121689,CIEL,N/A,142,N/A
121692,121692,CIEL,N/A,880,N/A
121760,121760,CIEL,N/A,11459,N/A
121764,121764,CIEL,Boolean,1664,Boolean
122088,122088,CIEL,N/A,11460,N/A
122496,122496,CIEL,Coded,2296,Coded
122499,122499,CIEL,N/A,591,N/A
122843,122843,CIEL,N/A,11461,N/A
122863,122863,CIEL,N/A,5209,N/A
122888,122888,CIEL,N/A,832,N/A
122911,122911,CIEL,N/A,823,N/A
122936,122936,CIEL,N/A,11462,N/A
122959,122959,CIEL,N/A,11463,N/A
122983,122983,CIEL,Coded,5980,N/A
123093,123093,CIEL,N/A,106,N/A
123098,123098,CIEL,N/A,11691,N/A
123358,123358,CIEL,N/A,836,N/A
123396,123396,CIEL,N/A,5993,N/A
123460,123460,CIEL,N/A,1437,N/A
123468,123468,CIEL,N/A,1437,N/A
123529,123529,CIEL,N/A,5995,N/A
